created_at,user_id,username,language,is_quote_status,is_retweet_status,full_text,quote_text,lemmatized_text,stemming_text
2020-05-15 06:50:51,1261187267852451840,FalconhunterNRA,en,False,True,icymi entrapment plan orchestrated top meeting,,icymi entrapment plan orchestrate top meeting,icymi entrap plan orchestr top meet
2020-05-15 06:51:00,1261187309204103168,ZA1194,en,False,False,notice supporters ignore,,notice supporter ignore,notic support ignor
2020-05-15 06:51:01,1261187312005926913,gary_burch,en,False,True,pandemic four countries deaths almost certainly us uk brazil russia great surprise one thing common poor leadership,,pandemic four country death almost certainly u uk brazil russia great surprise one thing common poor leadership,pandem four countri death almost certain u uk brazil russia great surpris one thing common poor leadership
2020-05-15 06:51:05,1261187328950759425,zorinstv,en,False,False,joe biden says would pardon trump block investigations,,joe biden say would pardon trump block investigation,joe biden say would pardon trump block investig
2020-05-15 06:51:06,1261187332394356736,Bulla_Adriano,en,False,True,may th president obama giving commencement speech entire us high school graduating class televised every network including fox news commercial free prime time full hour,,may th president obama give commencement speech entire u high school graduate class televise every network include fox news commercial free prime time full hour,may th presid obama give commenc speech entir u high school graduat class televis everi network includ fox news commerci free prime time full hour
2020-05-15 06:51:09,1261187344499179521,BT_India,en,False,False,listen india news podcast,,listen india news podcast,listen india news podcast
2020-05-15 06:51:10,1261187347405832192,FalconhunterNRA,en,False,True,clear double standard set pound allegations,,clear double standard set pound allegation,clear doubl standard set pound alleg
2020-05-15 06:51:15,1261187369991933952,CoronaUpdateBot,en,False,True,listen india news podcast,,listen india news podcast,listen india news podcast
2020-05-15 06:51:19,1261187385255243776,alliehookway,en,True,True,mitch mcconnell lied said president didnt leave pandemic plan obama left page playbook turn tell youre classless know obama fault,bret said previous administration leave plan mcconnell wrong leave behind plan clearly made mistake regard,mitch mcconnell lie say president didnt leave pandemic plan obama left page playbook turn tell youre classless know obama fault,mitch mcconnel lie say presid didnt leav pandem plan obama left page playbook turn tell your classless know obama fault
2020-05-15 06:51:22,1261187398031085568,FalconhunterNRA,en,False,True,guy drinking strangers urine,,guy drinking stranger urine,guy drink stranger urin
2020-05-15 06:51:23,1261187402988576768,DailyFairs,en,False,False,us president trump threatened end relations china read full article,,u president trump threaten end relation china read full article,u presid trump threaten end relat china read full articl
2020-05-15 06:51:27,1261187420902416384,NareshShenoy1,en,False,True,administration planning possibly punish seek financial compensation holding informations,,administration planning possibly punish seek financial compensation hold information,administr plan possibl punish seek financi compens hold inform
2020-05-15 06:51:29,1261187429161144322,John_william00,en,False,False,payment going hurry invest gain within hours investment,,payment go hurry invest gain within hour investment,payment go hurri invest gain within hour invest
2020-05-15 06:51:30,1261187433904902144,FalconhunterNRA,en,False,True,paint man real story behind viral photo,,paint man real story behind viral photo,paint man real stori behind viral photo
2020-05-15 06:51:30,1261187435121094656,epalomo17,en,True,False,thank,vote,thank,thank
2020-05-15 06:51:31,1261187439567278080,singhal_rishi,en,False,True,smile moment,,smile moment,smile moment
2020-05-15 06:51:37,1261187461931302917,FalconhunterNRA,en,False,True,hammers youre day late dollar short,,hammer youre day late dollar short,hammer your day late dollar short
2020-05-15 06:51:38,1261187466477912065,John_william00,en,False,True,payment going hurry invest gain within hours investment,,payment go hurry invest gain within hour investment,payment go hurri invest gain within hour invest
2020-05-15 06:51:41,1261187480553951234,FalconhunterNRA,en,False,True,demonstrably unfit step aside,,demonstrably unfit step aside,demonstr unfit step asid
2020-05-15 06:51:42,1261187484685406214,Groot66,en,False,True,one president united states guess one,,one president united state guess one,one presid unit state guess one
2020-05-15 06:51:45,1261187495779340288,crypticvalentin,en,False,False,americans sacrificed stock market kushner reportedly advised less covid testing calm wall street,,american sacrifice stock market kushner reportedly advise less covid test calm wall street,american sacrific stock market kushner report advis less covid test calm wall street
2020-05-15 06:51:45,1261187495842086912,sbreckenridge,en,True,False,ready new day better way,scares crushes november rd much damage cause defeat day sworn,ready new day well way,readi new day well way
2020-05-15 06:51:46,1261187500200132610,FalconhunterNRA,en,False,True,would standard supports,,would standard support,would standard support
2020-05-15 06:51:50,1261187517493268481,FalconhunterNRA,en,False,True,accuses childish tactics response rejects testing claims,,accuses childish tactic response reject test claim,accus childish tactic respons reject test claim
2020-05-15 06:51:53,1261187531099561985,jetboy24,en,False,False,americans sacrificed stock market kushner reportedly advised less covid testing calm wall street,,american sacrifice stock market kushner reportedly advise less covid test calm wall street,american sacrific stock market kushner report advis less covid test calm wall street
2020-05-15 06:51:54,1261187535189020674,FalconhunterNRA,en,False,True,watch allegedly try infect get set free prison,,watch allegedly try infect get set free prison,watch alleg tri infect get set free prison
2020-05-15 06:51:58,1261187551194501123,tonyhalpin,en,False,True,never since normalization relations relations dangerous confrontational today via pcm li,,never since normalization relation relation dangerous confrontational today via pcm li,never sinc normal relat relat danger confront today via pcm li
2020-05-15 06:52:00,1261187560166109184,FalconhunterNRA,en,False,True,watch reacts amazing statement via,,watch reacts amaze statement via,watch react amaz statement via
2020-05-15 06:52:07,1261187586795745280,PulpNews,en,False,False,timeline administrations changing guidance coronavirus may et,,timeline administration change guidance coronavirus may et,timelin administr chang guidanc coronavirus may et
2020-05-15 06:52:06,1261187586451746816,bitcoinconnect,en,False,False,guardian life names margherita l dimanni deputy general counsel get,,guardian life name margherita l dimanni deputy general counsel get,guardian life name margherita l dimanni deputi general counsel get
2020-05-15 06:52:16,1261187625513336835,FmYams,en,True,False,proof intelligent,stray cats spotted occupying circle marks intended implementation social distancing protocols front store brgy holy spirit quezon city sunday amid enhanced community quarantine,proof intelligent,proof intellig
